first_name,last_name,position,injury_status,week,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Antonio,Gibson,RB,,6,2023-10-15,,WAS,ATL,+1,42.5,20.8,4500,1,1.9,5.7,10.4,8.2,1.82
Josh,Reynolds,WR,,6,2023-10-15,,DET,TB,-3,42.5,22.8,4500,16,0.0,12.6,23.6,8.2,1.82
DJ,Chark Jr.,WR,,6,2023-10-15,,CAR,MIA,+14.5,47.5,16.5,4000,20,2.5,8.7,18.6,8.1,2.03
Dolphins,,DST,,6,2023-10-15,,MIA,CAR,-14.5,47.5,31,3500,24,-2.0,5.6,11.0,8.1,2.31
Elijah,Moore,WR,,6,2023-10-15,,CLE,SF,+9.5,36,13.3,4300,18,2.0,6.6,12.8,8.0,1.86
Jonnu,Smith,TE,Q,6,2023-10-15,,ATL,WAS,-1,42.5,21.8,3400,6,0.0,8.9,15.5,7.9,2.32
Eagles,,DST,,6,2023-10-15,,PHI,NYJ,-6.5,42.5,24.5,3800,21,4.0,8.2,13.0,7.8,2.05
Hunter,Henry,TE,,6,2023-10-15,,NE,LV,+3,41.5,19.3,4400,17,0.0,9.3,17.2,7.7,1.75
Texans,,DST,,6,2023-10-15,,HOU,NO,+1.5,42.5,20.5,2900,17,-1.0,7.2,13.0,7.4,2.55
Michael,Wilson,WR,,6,2023-10-15,,ARI,LAR,+6.5,47.5,20.5,3800,7,2.8,10.5,26.6,7.2,1.89
Seahawks,,DST,,6,2023-10-15,,SEA,CIN,+2.5,44.5,21,3000,15,-3.0,8.8,30.0,7.2,2.40
Jonathan,Mingo,WR,,6,2023-10-15,,CAR,MIA,+14.5,47.5,16.5,3500,20,3.7,6.1,9.8,7.2,2.06
Tyler,Conklin,TE,,6,2023-10-15,,NYJ,PHI,+6.5,42.5,18,3300,22,1.2,7.5,10.7,7.2,2.18
